HA,age_group,population
BC,<10,469351
BC,10-19,527805
BC,20-29,697691
BC,30-39,735052
BC,40-49,646035
BC,50-59,718272
BC,60-69,673131
BC,70-79,435062
BC,80-89,187443
BC,90+,49726
Interior,<10,76241
Interior,10-19,82074
Interior,20-29,84081
Interior,30-39,91003
Interior,40-49,95929
Interior,50-59,132817
Interior,60-69,130306
Interior,70-79,78652
Interior,80-89,38707
Interior,90+,8492
Fraser,<10,209262
Fraser,10-19,224621
Fraser,20-29,246216
Fraser,30-39,254100
Fraser,40-49,266529
Fraser,50-59,283834
Fraser,60-69,219822
Fraser,70-79,123313
Fraser,80-89,59754
Fraser,90+,14402
Vancouver Coastal,<10,104725
Vancouver Coastal,10-19,118005
Vancouver Coastal,20-29,187075
Vancouver Coastal,30-39,188176
Vancouver Coastal,40-49,178279
Vancouver Coastal,50-59,186279
Vancouver Coastal,60-69,150160
Vancouver Coastal,70-79,82450
Vancouver Coastal,80-89,45037
Vancouver Coastal,90+,11212
Vancouver Island,<10,76600
Vancouver Island,10-19,82367
Vancouver Island,20-29,94867
Vancouver Island,30-39,98196
Vancouver Island,40-49,101635
Vancouver Island,50-59,133546
Vancouver Island,60-69,139363
Vancouver Island,70-79,81156
Vancouver Island,80-89,40045
Vancouver Island,90+,10753
Northern,<10,39077
Northern,10-19,37894
Northern,20-29,40758
Northern,30-39,40100
Northern,40-49,40327
Northern,50-59,47851
Northern,60-69,36628
Northern,70-79,18145
Northern,80-89,7475
Northern,90+,1233